Word	Annotation	Sense	Part of Speech	Level	English	Russian
Lokal	das Lokal, -e		das	A1	pub, bar	кафе
Mitternacht	die Mitternacht, -̈e		die	B2+	midnight	полночь
thermisch	thermisch		adj	B2+	thermal	термический
vermindern, vermindert, verminderte, hat vermindert	vermindern, vermindert, verminderte, hat vermindert		verb	B2+	to reduce, decrease	уменьшать
verwandt	verwandt		adj	B1	related	родственный
Beschleunigung	die Beschleunigung, -en		die	B2+	acceleration	ускорение
Bundespräsident	der Bundespräsident, -en		der	B2+	Federal President	федеральный президент
Erfindung	die Erfindung, -en		die	B1	invention	изобретение
Fliege	die Fliege, -n		die	B2+	fly	муха
Immunsystem	das Immunsystem, -e		das	B2+	immune system	иммунная система
platzen, platzt, platzte, ist geplatzt	platzen, platzt, platzte, ist geplatzt		verb	B2+	to burst, split	лопаться
Pressekonferenz	die Pressekonferenz, -en		die	B2+	press conference	пресс-конференция
servieren, serviert, servierte, hat serviert	servieren, serviert, servierte, hat serviert		verb	B2+	to serve	подавать
Sessel	der Sessel, -		der	B1	armchair	кресло
Strahl	der Strahl, -en		der	B2+	ray, beam	луч
Anwesenheit	die Anwesenheit		die	B2+	presence	присутствие
Bube	der Bube, -n		der	B2+	boy	мальчик; валет; негодяй
Geldpolitik	die Geldpolitik, -en		die	B2+	financial policy	денежно-кредитная политика
gewissermaßen	gewissermaßen		adv	B2+	so to speak, as it were	в некотором роде
Ingenieur	der Ingenieur, -e		der	B1	engineer	инженер
Manuskript	das Manuskript, -e		das	B2+	manuscript	рукопись
Nacherfüllung	die Nacherfüllung		die	B2+	supplementary performance	доисполнение
sachlich	sachlich		adj	B2+	objective, matter-of-fact	объективный
Ausschuss	der Ausschuss, -̈e		der	B2+	committee	комитет
Mitgliedstaat	der Mitgliedstaat, -en		der	B2+	member state	государство-член
Spaltung	die Spaltung, -en		die	B2+	split, splitting	раскол
Antibiotikum, Antibiotika	das Antibiotikum, die Antibiotika		das	B2+	antibiotic	антибиотик
anweisen, weist an, wies an, hat angewiesen	anweisen, weist an, wies an, hat angewiesen		verb	B2+	to order to do, to instruct, to direct	инструктировать
Ausflug	der Ausflug, -̈e		der	A1	excursion, trip	экскурсия
außergewöhnlich	außergewöhnlich		adj	B2+	unusual, extraordinary	необычайный
Baustelle	die Baustelle, -n		die	A2	building site, construction site	стройка
Index	der Index, -izes		der	B2+	index	указатель
Kasten	der Kasten, -̈		der	B1	box, crate	ящик
Kölner	Kölner		adj	B2+	Cologne	кёльнский
Pariser	der Pariser, -		der	B2+	Parisian, condom	парижанин; презерватив
schimpfen, schimpft, schimpfte, hat geschimpft	schimpfen, schimpft, schimpfte, hat geschimpft		verb	A2	to scold, rant	ругать
Sicherung	die Sicherung, -en		die	B2+	protection, fuse	обеспечение; предохранитель; защита
Steigung	die Steigung, -en		die	B2+	ascent, slope	крутизна
wegnehmen, nimmt weg, nahm weg, hat weggenommen	wegnehmen, nimmt weg, nahm weg, hat weggenommen		verb	B2+	to take away	отнимать
worum	worum		pron	B1	what about	о чем
Balkon	der Balkon, -s		der	A1	balcony	балкон
bar	bar		adj	A1	cash	наличный
Business	das Business		das	B2+	business	бизнес
Duell	das Duell, -e		das	B2+	duel	дуэль
erfreuen, erfreut, erfreute, hat erfreut	erfreuen, erfreut, erfreute, hat erfreut		verb	B2+	to please, delight	радовать
erschließen, erschließt, erschloss, hat erschlossen	erschließen, erschließt, erschloss, hat erschlossen		verb	B2+	to develop, tap, make out	понимать
Gewehr	das Gewehr, -e		das	B2+	rifle, shotgun	ружье
Mittelmeer	das Mittelmeer		das	B2+	Mediterranean See	Средиземное море
Tuch	das Tuch, -̈er		das	B1	cloth, scarf	платок
vereinfachen, vereinfacht, vereinfachte, hat vereinfacht	vereinfachen, vereinfacht, vereinfachte, hat vereinfacht		verb	B2+	to simplify	упрощать
Wende	die Wende, -n		die	B2+	change (esp. the 1989–90 political change in the GDR)	объединение
Agentur	die Agentur, -en		die	B2+	agency	агентство
Bündnis	das Bündnis, -se		das	B2+	alliance	союз
flüchtig	flüchtig		adj	B2+	fugitive, cursory, fleeting	беглый
Geographie	die Geographie, -n		die	B2+	geography	география
Lebewesen	das Lebewesen, -		das	B2+	living being	существо
Ozean	der Ozean, -e		der	B1	ocean	океан
Pakistan	Pakistan		das	B2+	Pakistan	Пакистан
Rheinland-Pfalz	Rheinland-Pfalz		das	B2+	Rhineland-Palatinate	Рейнланд-Пфальц
Sektor	der Sektor, -en		der	B2+	sector	сектор
umsonst	umsonst		adv	B1	for free, in vain	бесплатно; напрасно
verdächtig	verdächtig		adj	B1	suspicious	подозрительный
zuverlässig	zuverlässig		adj	B1	reliable	надежный
abheben, hebt ab, hob ab, hat abgehoben	abheben, hebt ab, hob ab, hat abgehoben		verb	B1	to take off, withdraw	взлетать
alltäglich	alltäglich		adj	B1	daily, usual, ordinary	повседневный
anbringen, bringt an, brachte an, hat angebracht	anbringen, bringt an, brachte an, hat angebracht		verb	B2+	to affix, attach, put up	прикреплять
entgehen, entgeht, entging, ist entgangen	entgehen, entgeht, entging, ist entgangen		verb	B2+	to avoid, escape	избегать
Fortsetzung	die Fortsetzung, -en		die	B1	continuation	продолжение
lauter	lauter		adv	B2+	nothing but, just, a lot of	сплошной
Mediziner	der Mediziner, -		der	B2+	doctor, physician	врач
Tunnel	der Tunnel, -		der	B2+	tunnel	туннель
Assistent	der Assistent, -en		der	B2+	assistant	ассистент
Differenzierung	die Differenzierung, -en		die	B2+	differentiation	дифференциация
drastisch	drastisch		adj	B2+	drastic	радикальный
gleichmäßig	gleichmäßig		adj	B2+	regular, even	равномерный
hinnehmen, nimmt hin, nahm hin, hat hingenommen	hinnehmen, nimmt hin, nahm hin, hat hingenommen		verb	B2+	to accept	мириться
Mexiko	Mexiko		das	B2+	Mexico	Мексика
Moderne	die Moderne		die	B2+	modern age, modernism	модерн
molekular	molekular		adj	B2+	molecular	молекулярный
Nachbarschaft	die Nachbarschaft, -en		die	B2+	neighborhood	соседство
Siedepunkt	der Siedepunkt, -e		der	B2+	boiling point	точка кипения
stationär	stationär		adj	B2+	inpatient, fixed, stationary	стационарный
Taliban	Taliban		die (pl)	B2+	Taliban	талибы
brutal	brutal		adj	B2+	brutal	жестокий
ehrenamtlich	ehrenamtlich		adj	B2+	honorary, voluntary	добровольный
großzügig	großzügig		adj	B2+	generous	щедрый
Redaktion	die Redaktion, -en		die	B2+	editorial work, editorial staff	редакция
Schweiß	der Schweiß, -e		der	B2+	sweat	пот
Spruch	der Spruch, -̈e		der	B2+	saying, slogan	изречение
strikt	strikt		adj	B2+	strict	строгий
Befragung	die Befragung, -en		die	B2+	questioning, survey, interview	опрос
Einzige	Einzige		der, die	B2+	only one	единственный
Eizelle	die Eizelle, -n		die	B2+	ovum, egg cell	яйцеклетка
fit	fit		adj	B2+	fit	бодрый
Flüchtlingspolitik	die Flüchtlingspolitik		die	B2+	refugee policy	миграционная политика
Haufen	der Haufen, -		der	B2+	heap, pile, load	куча
Infektion	die Infektion, -en		die	B1	infection	инфекция
Keks	der Keks, -		der	B2+	cookie	печенье
Sorte	die Sorte, -n		die	B2+	kind, variety	сорт
zueinander	zueinander		adv	B2+	(to) one another	друг к другу
Container	der Container, -		der	B2+	container	контейнер
gelassen	gelassen		adj	B2+	calm, composed	невозмутимый
live	live		adj	B2+	live	прямой
Mutation	die Mutation, -en		die	B2+	mutation	мутация
sozialistisch	sozialistisch		adj	B2+	socialist	социалистический
überstehen, übersteht, überstand, hat überstanden	überstehen, übersteht, überstand, hat überstanden		verb	B2+	to overcome, survive	переживать
Vermutung	die Vermutung, -en		die	B2+	assumption, presumption	предположение
aufspringen, springt auf, sprang auf, ist aufgesprungen	aufspringen, springt auf, sprang auf, ist aufgesprungen		verb	B2+	to jump up/on, burst open	вскакивать
Käse	der Käse, -		der	A2	cheese	сыр
losgehen, geht los, ging los, ist losgegangen	losgehen, geht los, ging los, ist losgegangen		verb	B2+	to go off, start	начинаться
Maul	das Maul, -̈er		das	B2+	mouth, jaws	пасть
protestieren, protestiert, protestierte, hat protestiert	protestieren, protestiert, protestierte, hat protestiert		verb	B1	to protest	протестовать
schämen, schämt, schämte, hat geschämt	schämen (sich), schämt, schämte, hat geschämt		verb	B2+	to be ashamed	стыдиться
Alpen	Alpen		die (pl)	B2+	Alps	Альпы
Berufung	die Berufung, -en		die	B2+	appeal, vocation, appointment	призвание
Einteilung	die Einteilung, -en		die	B2+	classification, division	классификация
Eintritt	der Eintritt, -e		der	A1	entry, admission	вход
Geliebte	die Geliebte		der, die	B2+	lover	любовница
Gramm	das Gramm, -e		das	B2+	gram	грамм
Hüfte	die Hüfte, -n		die	B2+	hip	бедро
neulich	neulich		adv	B1	recently, the other day	недавно
regelrecht	regelrecht		adj	B2+	proper, real	правильный
verankern, verankert, verankerte, hat verankert	verankern, verankert, verankerte, hat verankert		verb	B2+	to anchor, enshrine	закреплять
Zähler	der Zähler, -		der	B2+	counter, meter, numerator	счётчик
befriedigen, befriedigt, befriedigte, hat befriedigt	befriedigen, befriedigt, befriedigte, hat befriedigt		verb	B2+	to satisfy	удовлетворять
beseitigen, beseitigt, beseitigte, hat beseitigt	beseitigen, beseitigt, beseitigte, hat beseitigt		verb	B2+	to eliminate, clear	устранять
Gründer	der Gründer, -		der	B2+	founder	основатель
Orchester	das Orchester, -		das	B1	orchestra	оркестр
regulär	regulär		adj	B2+	regular, normal	регулярный
Türke	der Türke, -n		der	B2+	Turk	турок
ukrainisch	ukrainisch		adj	B2+	Ukrainian	украинский
unterdrücken, unterdrückt, unterdrückte, hat unterdrückt	unterdrücken, unterdrückt, unterdrückte, hat unterdrückt		verb	B2+	to suppress	подавлять
unterteilen, unterteilt, unterteilte, hat unterteilt	unterteilen, unterteilt, unterteilte, hat unterteilt		verb	B2+	to divide, subdivide, partition	подразделять
verziehen, verzieht, verzog, hat verzogen	verziehen, verzieht, verzog, hat verzogen		verb	B2+	to distort, twist	кривить
Bestellung	die Bestellung, -en		die	B2+	order, reservation	заказ
einschließlich	einschließlich		prep	B1	including	включая
Glied	das Glied, -er		das	B2+	limb, joint, link	звено
Migration	die Migration, -en		die	B1	migration	миграция
Roboter	der Roboter, -		der	B2+	robot	робот
Bitte	die Bitte, -n		die	A1	request	просьба
Blüte	die Blüte, -n		die	B2+	blossom	цветок
elektromagnetisch	elektromagnetisch		adj	B2+	electromagnetic	электромагнитный
inmitten	inmitten		adv	B2+	in the middle/midst of	посреди
abschließend	abschließend		adv	B2+	concluding, final	заключительный
aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen	aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen		verb	B2+	to open, serve, pitch	открывать
Glocke	die Glocke, -n		die	B2+	bell	колокол
Informatik	die Informatik		die	B2+	computer science	информатика
Niederschlag	der Niederschlag, -̈e		der	B2+	precipitation, rainfall	осадки
örtlich	örtlich		adj	B2+	local	местный
streifen, streift, streifte, hat gestreift	streifen, streift, streifte, hat gestreift		verb	B2+	to touch, brush	задевать
Topf	der Topf, -̈e		der	A2	pot	кастрюля
Enttäuschung	die Enttäuschung, -en		die	B1	disappointment	разочарование
ernähren, ernährt, ernährte, hat ernährt	ernähren, ernährt, ernährte, hat ernährt		verb	B1	to feed, nourish, support	питаться
prominent	prominent		adj	B2+	prominent	знаменитый
Sowjetunion	die Sowjetunion		die	B2+	Soviet Union	СССР
afrikanisch	afrikanisch		adj	B2+	African	африканский
Beschränkung	die Beschränkung, -en		die	B2+	restriction	ограничение
Genehmigung	die Genehmigung, -en		die	B2+	approval, permit, permission	разрешение
Lampe	die Lampe, -n		die	A2	lamp	лампа
Moral	die Moral, -en		die	B2+	moral	мораль
philosophisch	philosophisch		adj	B2+	philosophical	философский
verständigen, verständigt, verständigte, hat verständigt	verständigen (sich), verständigt, verständigte, hat verständigt		verb	B2+	to notify, communicate	оповещать
Willenserklärung	die Willenserklärung, -en		die	B2+	declaration of intent	волеизъявление
zweifeln, zweifelt, zweifelte, hat gezweifelt	zweifeln, zweifelt, zweifelte, hat gezweifelt		verb	B1	to doubt	сомневаться
andauern, dauert an, dauerte an, hat angedauert	andauern, dauert an, dauerte an, hat angedauert		verb	B2+	to continue, last	продолжаться
aufrichten, richtet auf, richtete auf, hat aufgerichtet	aufrichten (sich), richtet auf, richtete auf, hat aufgerichtet		verb	B2+	to put up (right), straighten up	выпрямляться
auslaufen, läuft aus, lief aus, ist ausgelaufen	auslaufen, läuft aus, lief aus, ist ausgelaufen		verb	B2+	to run out, leak	вытекать
einverstanden	einverstanden		adj	B1	(to be) in agreement	согласный
fachlich	fachlich		adj	B2+	specialist, technical, professional	профессиональный
Märchen	das Märchen, -		das	B2+	fairy tale	сказка
Regime	das Regime, -		das	B2+	regime	режим
Schädel	der Schädel, -		der	B2+	skull, head	череп
spezialisieren, spezialisiert, spezialisierte, hat spezialisiert	spezialisieren, spezialisiert, spezialisierte, hat spezialisiert		verb	B2+	to specialize	специализироваться
variieren, variiert, variierte, hat variiert	variieren, variiert, variierte, hat variiert		verb	B2+	to vary	варьироваться
Löwe	der Löwe, -n		der	B2+	lion	лев
Operator	der Operator, -en		der	B2+	operator	оператор
Partnerschaft	die Partnerschaft, -en		die	B2+	partnership	партнерство
Pfund	das Pfund, -e		das	B2+	pound	фунт
Unterhaltung	die Unterhaltung, -en		die	B1	entertainment, conversation	развлечение; беседа; разговор
zerfallen, zerfällt, zerfiel, ist zerfallen	zerfallen, zerfällt, zerfiel, ist zerfallen		verb	B2+	to fall apart, disintegrate, decay, decline	распадаться
zustande	zustande		adv	B2+	(come/bring) about	результат
ablösen, löst ab, löste ab, hat abgelöst	ablösen, löst ab, löste ab, hat abgelöst		verb	B2+	to take over, remove, peel away	сменять
allenfalls	allenfalls		adv	B2+	at most	в лучшем случае
ausbleiben, bleibt aus, blieb aus, ist ausgeblieben	ausbleiben, bleibt aus, blieb aus, ist ausgeblieben		verb	B2+	to be missing, fail to appear, stay out	отсутствовать
besorgen, besorgt, besorgte, hat besorgt	besorgen, besorgt, besorgte, hat besorgt		verb	B1	to get, provide, buy	доставать
binnen	binnen		adv	B2+	within	в течение
einstig	einstig		adj	B2+	former	бывший
entgegensetzen, setzt entgegen, setzte entgegen, hat entgegengesetzt	entgegensetzen, setzt entgegen, setzte entgegen, hat entgegengesetzt		verb	B2+	to oppose, counter	противопоставлять
Inszenierung	die Inszenierung, -en		die	B2+	production, staging	постановка
Kraftwerk	das Kraftwerk, -e		das	B1	power plant	электростанция
Nervensystem	das Nervensystem, -e		das	B2+	nervous systems	нервная система
nördlich	nördlich		adj	B2+	north	северный
obig	obig		adj	B2+	above	вышеуказанный
skeptisch	skeptisch		adj	B2+	skeptical	скептический
überwachen, überwacht, überwachte, hat überwacht	überwachen, überwacht, überwachte, hat überwacht		verb	B2+	to monitor, control, watch	контролировать
UNO	UNO (Vereinte Nationen)		die	B2+	UN	ООН
woanders	woanders		adv	B2+	somewhere else	в другом месте
ablesen, liest ab, las ab, hat abgelesen	ablesen, liest ab, las ab, hat abgelesen		verb	B2+	to read	считывать
anzünden, zündet an, zündete an, hat angezündet	anzünden, zündet an, zündete an, hat angezündet		verb	B2+	to light	зажигать
ärztlich	ärztlich		adj	B2+	medical	врачебный
Fürst	der Fürst, -en		der	B2+	prince	князь
geschickt	geschickt		adj	B2+	skilled	умелый
mittelalterlich	mittelalterlich		adj	B2+	medieval	средневековый
repräsentieren, repräsentiert, repräsentierte, hat repräsentiert	repräsentieren, repräsentiert, repräsentierte, hat repräsentiert		verb	B2+	to represent	представлять
Rezept	das Rezept, -e		das	A2	recipe, prescription	рецепт
Sack	der Sack, -̈e		der	B1	sack, bag	мешок
Thüringen	Thüringen		das	B2+	Thuringia	Тюрингия
anorganisch	anorganisch		adj	B2+	inorganic	неорганический
ausstehen, steht aus, stand aus, hat ausgestanden	ausstehen, steht aus, stand aus, hat ausgestanden		verb	B2+	to stand, bear, be pending	ожидать
Bundesamt	das Bundesamt, -̈er		das	B2+	federal office	федеральное ведомство
einschließen, schließt ein, schloss ein, hat eingeschlossen	einschließen, schließt ein, schloss ein, hat eingeschlossen		verb	B2+	to lock up, involve, include	включать
Faden	der Faden, -̈		der	B2+	thread	нить
hunderttausend	hunderttausend		num	B2+	hundred thousand	сто тысяч
Oberschenkel	der Oberschenkel, -		der	B2+	thigh	бедро
Schlacht	die Schlacht, -en		die	B2+	battle	битва
sinnlos	sinnlos		adj	B1	meaningless	бессмысленный
streben, strebt, strebte, hat gestrebt	streben, strebt, strebte, hat gestrebt		verb	B2+	to strive	стремиться
Algorithmus	der Algorithmus, -en		der	B2+	algorithm	алгоритм
beleuchten, beleuchtet, beleuchtete, hat beleuchtet	beleuchten, beleuchtet, beleuchtete, hat beleuchtet		verb	B2+	to light, illuminate, examine	освещать
drucken, druckt, druckte, hat gedruckt	drucken, druckt, druckte, hat gedruckt		verb	A1	to print	печатать
erreichbar	erreichbar		adj	B2+	within reach, reachable	доступный
erschweren, erschwert, erschwerte, hat erschwert	erschweren, erschwert, erschwerte, hat erschwert		verb	B2+	to complicate, make more difficult	затруднять
Fahne	die Fahne, -n		die	B2+	flag	флаг
Panik	die Panik, -en		die	B2+	panic	паника
populär	populär		adj	B1	popular	популярный
Rotation	die Rotation, -en		die	B2+	rotation	вращение
unterschätzen, unterschätzt, unterschätzte, hat unterschätzt	unterschätzen, unterschätzt, unterschätzte, hat unterschätzt		verb	B2+	to underestimate	недооценивать
Vereinigung	die Vereinigung, -en		die	B2+	organization, association, unification	объединение
Anleger	der Anleger, -		der	B2+	investor	инвестор
Darm	der Darm, -̈e		der	B2+	intestine	кишка
erobern, erobert, eroberte, hat erobert	erobern, erobert, eroberte, hat erobert		verb	B2+	to conquer, take, win	завоевывать
Fassade	die Fassade, -n		die	B2+	facade, front	фасад
Favorit	der Favorit, -en		der	B2+	favorite	фаворит
Plakat	das Plakat, -e		das	A2	poster	плакат
Terrasse	die Terrasse, -n		die	B1	terrace, patio	терраса
aufsuchen, sucht auf, suchte auf, hat aufgesucht	aufsuchen, sucht auf, suchte auf, hat aufgesucht		verb	B2+	to see, visit	посещать
forschen, forscht, forschte, hat geforscht	forschen, forscht, forschte, hat geforscht		verb	B2+	to research, do research	исследовать
Gesetzentwurf	der Gesetzentwurf, -̈e		der	B2+	bill, draft law	законопроект
intellektuell	intellektuell		adj	B2+	intellectual	интеллектуальный
legendär	legendär		adj	B2+	legendary	легендарный
Lektüre	die Lektüre, -n		die	B2+	reading	чтение
motorisch	motorisch		adj	B2+	motor	моторный
nunmehr	nunmehr		adv	B2+	now	теперь
Richtlinie	die Richtlinie, -n		die	B2+	guideline	директива
Trick	der Trick, -s		der	B2+	trick	трюк
Tropfen	der Tropfen, -		der	B1	drop	капля
abschaffen, schafft ab, schaffte ab, hat abgeschafft	abschaffen, schafft ab, schaffte ab, hat abgeschafft		verb	B2+	to abolish	отменять
anheben, hebt an, hob an, hat angehoben	anheben, hebt an, hob an, hat angehoben		verb	B2+	to raise	повышать
bewundern, bewundert, bewunderte, hat bewundert	bewundern, bewundert, bewunderte, hat bewundert		verb	B2+	to admire	восхищаться
Burg	die Burg, -en		die	B1	castle	замок
Engel	der Engel, -		der	B2+	angel	ангел
Fazit	das Fazit, -s		das	B2+	summary, conclusion	вывод
hervorrufen, ruft hervor, rief hervor, hat hervorgerufen	hervorrufen, ruft hervor, rief hervor, hat hervorgerufen		verb	B2+	to evoke, arouse, cause	вызывать
Irland	Irland		das	B2+	Ireland	Ирландия
Mechanik	die Mechanik, -en		die	B2+	mechanics	механика
Psychologe	der Psychologe, -n		der	B2+	psychologist	психолог
abspielen, spielt ab, spielte ab, hat abgespielt	abspielen, spielt ab, spielte ab, hat abgespielt		verb	B2+	to play	воспроизводить
Erhebung	die Erhebung, -en		die	B2+	survey, elicitation, levying	сбор
herausragen, ragt heraus, ragte heraus, hat herausgeragt	herausragen, ragt heraus, ragte heraus, hat herausgeragt		verb	B2+	to stand out	выделяться
inszenieren, inszeniert, inszenierte, hat inszeniert	inszenieren, inszeniert, inszenierte, hat inszeniert		verb	B2+	to stage	инсценировать
klatschen, klatscht, klatschte, hat geklatscht	klatschen, klatscht, klatschte, hat geklatscht		verb	B2+	to clap	хлопать
Magazin	das Magazin, -e		das	B1	magazine, storehouse	журнал; склад
Zuhörer	der Zuhörer, -		der	B1	listener, audience (pl)	слушатель
beschweren, beschwert, beschwerte, hat beschwert	beschweren, beschwert, beschwerte, hat beschwert		verb	A2	to weight, complain	жаловаться
entgegenkommen, kommt entgegen, kam entgegen, ist entgegengekommen	entgegenkommen, kommt entgegen, kam entgegen, ist entgegengekommen		verb	B1	to meet, accommodate	идти навстречу
Hast	die Hast		die	B2+	haste	спешка
hinauf	hinauf		adv	B2+	up, upwards	вверх
hindern, hindert, hinderte, hat gehindert	hindern, hindert, hinderte, hat gehindert		verb	B2+	to prevent	препятствовать
loswerden, wird los, wurde los, ist losgeworden	loswerden, wird los, wurde los, ist losgeworden		verb	B2+	to get rid of	избавляться
mild	mild		adj	B1	mild, gentle	мягкий
Minderheit	die Minderheit, -en		die	B1	minority	меньшинство
Prävention	die Prävention, -en		die	B2+	prevention	профилактика
schrumpfen, schrumpft, schrumpfte, ist geschrumpft	schrumpfen, schrumpft, schrumpfte, ist geschrumpft		verb	B2+	to shrink	уменьшаться
vernehmen, vernimmt, vernahm, hat vernommen	vernehmen, vernimmt, vernahm, hat vernommen		verb	B2+	to hear, examine, question	допрашивать
erstrecken, erstreckt, erstreckte, hat erstreckt	erstrecken (sich), erstreckt, erstreckte, hat erstreckt		verb	B2+	to extend, include	распространяться
Genosse	der Genosse, -n		der	B2+	comrade	товарищ
öh	öh		interj	B2+	uh	э
Thüringer	Thüringer		adj	B2+	Thuringian	тюрингский
vortragen, trägt vor, trug vor, hat vorgetragen	vortragen, trägt vor, trug vor, hat vorgetragen		verb	B2+	to present, perform	представлять
Hirn	das Hirn, -e		das	B2+	brain	мозг
Pfeil	der Pfeil, -e		der	B2+	arrow	стрелка
Schuldner	der Schuldner, -		der	B2+	debtor	должник
Überprüfung	die Überprüfung, -en		die	B2+	review, screening, check, inspection	проверка
Verzweiflung	die Verzweiflung, -en		die	B2+	desperation	отчаяние
vorig	vorig		adj	B2+	previous	прошлый
Anweisung	die Anweisung, -en		die	B2+	order, instruction	указание
Bargeld	das Bargeld		das	B2+	cash	наличные
belgisch	belgisch		adj	B2+	Belgian	бельгийский
erkundigen, erkundigt, erkundigte, hat erkundigt	erkundigen (sich), erkundigt, erkundigte, hat erkundigt		verb	B1	to inquire	осведомляться
Format	das Format, -e		das	B2+	format	формат
Gasse	die Gasse, -n		die	B2+	alley	переулок
Gesichtspunkt	der Gesichtspunkt, -e		der	B2+	point of view	точка зрения
glänzend	glänzend		adj	B2+	shiny, shining, brilliant	блестящий
Original	das Original, -e		das	B1	original	оригинал
ÖVP	ÖVP (Österreichische Volkspartei)		die	B2+	ÖVP	Австрийская народная партия
Priorität	die Priorität, -en		die	B2+	priority	приоритет
Stich	der Stich, -e		der	B2+	bite, sting	укус
Variation	die Variation, -en		die	B2+	kind, variation	вариация
Wettkampf	der Wettkampf, -̈e		der	B2+	competition	соревнование
Fremde	die Fremde		der	B2+	stranger	незнакомец
haften, haftet, haftete, hat gehaftet	haften, haftet, haftete, hat gehaftet		verb	B2+	to adhere, be liable	отвечать
horizontal	horizontal		adj	B2+	horizontal	горизонтальный
irren, irrt, irrte, hat geirrt	irren (sich), irrt, irrte, hat geirrt		verb	B1	to err, be wrong	ошибаться
kriminell	kriminell		adj	B2+	criminal	преступный
verfallen, verfällt, verfiel, ist verfallen	verfallen, verfällt, verfiel, ist verfallen		verb	B2+	to decay, deteriorate, expire	разрушаться
vorzeitig	vorzeitig		adj	B2+	early, premature	досрочный
ansiedeln, siedelt an, siedelte an, hat angesiedelt	ansiedeln, siedelt an, siedelte an, hat angesiedelt		verb	B2+	to settle, establish	заселять
Bewerber	der Bewerber, -		der	B2+	applicant	кандидат
Breite	die Breite, -n		die	B1	width	ширина
einsehen, sieht ein, sah ein, hat eingesehen	einsehen, sieht ein, sah ein, hat eingesehen		verb	B2+	to see, realize, look into	осознавать
Epoche	die Epoche, -n		die	B2+	epoch	эпоха
Explosion	die Explosion, -en		die	B2+	explosion	взрыв
Idiot	der Idiot, -en		der	B2+	idiot	идиот
Kulisse	die Kulisse, -n		die	B2+	setting, scenery, backdrop	декорация
Lieferung	die Lieferung, -en		die	B1	delivery	доставка
nachvollziehbar	nachvollziehbar		adj	B2+	plausible, transparent	понятный
spürbar	spürbar		adj	B2+	noticeable, perceptible	ощутимый
Stall	der Stall, -̈e		der	B2+	stable	хлев
Arbeitskraft	die Arbeitskraft, -̈e		die	B2+	manpower, worker	работник
Bibel	die Bibel, -n		die	B2+	Bible	библия
Gemeinsamkeit	die Gemeinsamkeit, -en		die	B2+	commonality, common feature	общность
Gemisch	das Gemisch, -e		das	B2+	mixture	смесь
schlank	schlank		adj	B2+	slim	стройный
Dreck	der Dreck		der	B1	dirt	грязь
eilen, eilt, eilte, hat geeilt	eilen, eilt, eilte, hat geeilt		verb	B1	to hurry	спешить
fügen, fügt, fügte, hat gefügt	fügen (sich), fügt, fügte, hat gefügt		verb	B2+	to comply, defer to, resign oneself to	подчиняться
heuer	heuer		adv	B2+	this year	в этом году
Hölle	die Hölle, -n		die	B2+	hell	ад
quadratisch	quadratisch		adj	B2+	square	квадратный
Reflexion	die Reflexion, -en		die	B2+	reflection	отражение
solide	solide		adj	B2+	solid, sound	солидный
unauffällig	unauffällig		adj	B2+	inconspicuous	неприметный
Zwerg	der Zwerg, -e		der	B2+	dwarf	карлик
Anmerkung	die Anmerkung, -en		die	B2+	note, comment	примечание
Anreiz	der Anreiz, -e		der	B2+	incentive	стимул
Ausrichtung	die Ausrichtung, -en		die	B2+	orientation, alignment	ориентация
auswerten, wertet aus, wertete aus, hat ausgewertet	auswerten, wertet aus, wertete aus, hat ausgewertet		verb	B2+	to evaluate, assess	анализировать
ersparen, erspart, ersparte, hat erspart	ersparen, erspart, ersparte, hat erspart		verb	B2+	to save, spare	избавлять
homogen	homogen		adj	B2+	homogeneous	однородный
nachkommen, kommt nach, kam nach, ist nachgekommen	nachkommen, kommt nach, kam nach, ist nachgekommen		verb	B2+	to follow, come later, come after	подходить
Diabetes	der Diabetes		der	B2+	diabetes	диабет
Fotografie	die Fotografie, -n		die	B1	photography	фотография
Galerie	die Galerie, -n		die	B1	gallery	галерея
Haft	die Haft		die	B2+	detention, confinement	заключение
Malerei	die Malerei, -en		die	B2+	painting	живопись
Marktwirtschaft	die Marktwirtschaft, -en		die	B2+	market economy	рыночная экономика
Maske	die Maske, -n		die	B2+	mask	маска
mmh	mmh		interj	B2+	mmh	мм
Präsentation	die Präsentation, -en		die	B1	presentation	презентация
unerträglich	unerträglich		adj	B2+	unbearable, intolerable	невыносимый
zerreißen, zerreißt, zerriss, hat zerrissen	zerreißen, zerreißt, zerriss, hat zerrissen		verb	B2+	to tear (up, to pieces)	разрывать
zwangsläufig	zwangsläufig		adj	B2+	inevitable	неизбежный
betrinken, betrinkt, betrank, hat betrunken	betrinken (sich), betrinkt, betrank, hat betrunken		verb	B2+	to get drunk	напиваться
Furcht	die Furcht		die	B2+	fear	страх
Klavier	das Klavier, -e		das	A2	piano	пианино
kommunal	kommunal		adj	B2+	municipal	муниципальный
Landkreis	der Landkreis, -e		der	B2+	district	район
Meisterschaft	die Meisterschaft, -en		die	B2+	championship	чемпионат
Neubau	der Neubau, -ten		der	B2+	new building	новостройка
schädigen, schädigt, schädigte, hat geschädigt	schädigen, schädigt, schädigte, hat geschädigt		verb	B2+	to damage	вредить
Schau	die Schau, -en		die	B2+	show	выставка
