Word	Annotation	Sense	Part of Speech	Level	Russian	English
Steigerung	die Steigerung, -en		die	B2+	увеличение	increase
Steigung	die Steigung, -en		die	B2+	склон	ascent, slope
steil	steil		adj	B1	крутой	steep
Stein	der Stein, -e		der	B1	камень	rock, stone
Stelle	die Stelle, -n		die	A1	позиция	place
stellen, stellt, stellte, hat gestellt	stellen, stellt, stellte, hat gestellt		verb	A1	положил	to place, set, put
Stellung	die Stellung, -en		die	B1	позиция	position, standing
Stellungnahme	die Stellungnahme, -n		die	B2+	мнение	opinion, statement
stellvertretend	stellvertretend		adj	B2+	представитель	on behalf
sterben, stirbt, starb, ist gestorben	sterben, stirbt, starb, ist gestorben		verb	A2	умереть	to die
Stern	der Stern, -e		der	B1	звезда	star
stetig	stetig		adj	B1	стабильно	constant
stets	stets		adv	A2	всегда	always
Steuer	das Steuer, -		die, das	B1	налог	tax; steering wheel, helm
steuern, steuert, steuerte, hat gesteuert	steuern, steuert, steuerte, hat gesteuert		verb	B1	контроль	to steer, control
Steuerung	die Steuerung, -en		die	B2+	контроль	control, steering
Stich	der Stich, -e		der	B2+	стежок	bite, sting
Stichprobe	die Stichprobe, -n		die	B2+	образец	sample
Stichwort	das Stichwort, -̈er		das	B2+	ключевое слово	cue, key word
Stickstoff	der Stickstoff		der	B2+	Азот	nitrogen
Stiftung	die Stiftung, -en		die	B1	фонд	foundation, institute, donation
Stil	der Stil, -e		der	B1	стиль	style
still	still		adj	B1	тихий	still, quiet
Stille	die Stille		die	B2+	тишина	peace, silence
Stimme	die Stimme, -n		die	B1	голос	voice, vote
stimmen, stimmt, stimmte, hat gestimmt	stimmen, stimmt, stimmte, hat gestimmt		verb	B1	согласен	to be correct, vote, tune
Stimmung	die Stimmung, -en		die	B1	настроение	mood, atmosphere
stimulieren, stimuliert, stimulierte, hat stimuliert	stimulieren, stimuliert, stimulierte, hat stimuliert		verb	B2+	стимулировать	to stimulate
stinken, stinkt, stank, hat gestunken	stinken, stinkt, stank, hat gestunken		verb	B1	вонь	to stink
Stirn	die Stirn, -en		die	B1	лоб	forehead
Stock	der Stock, -̈e		der	A1	акции	stick, floor
Stockwerk	das Stockwerk, -e		das	A2	пол	floor
Stoff	der Stoff, -e		der	B1	ткань	material, substance, fabric
Stoffwechsel	der Stoffwechsel, -		der	B2+	метаболизм	metabolism
stolpern, stolpert, stolperte, ist gestolpert	stolpern, stolpert, stolperte, ist gestolpert		verb	B2+	споткнуться	to trip, stumble
Stolz	der Stolz		der	B1	гордость	pride
stolz	stolz		adj	B1	гордый	proud
stoppen, stoppt, stoppte, hat gestoppt	stoppen, stoppt, stoppte, hat gestoppt		verb	B1	стоп	to stop
stören, stört, störte, hat gestört	stören, stört, störte, hat gestört		verb	A2	беспокоить	to disturb, bother
Störung	die Störung, -en		die	B1	беспокойство	disturbance, interruption
Stoß	der Stoß, -̈e		der	B2+	нажмите	push, shock
stoßen, stößt, stieß, hat gestoßen	stoßen, stößt, stieß, hat gestoßen		verb	B1	удар	to bump, push
Strafe	die Strafe, -n		die	B1	наказание	punishment, penalty
Strahl	der Strahl, -en		der	B2+	Рэй	ray, beam
strahlen, strahlt, strahlte, hat gestrahlt	strahlen, strahlt, strahlte, hat gestrahlt		verb	B2+	излучать	to shine
Strahlung	die Strahlung, -en		die	B2+	радиация	radiation
Strand	der Strand, -̈e		der	A2	пляж	beach
Straße	die Straße, -n		die	A1	улица	street
Strategie	die Strategie, -n		die	B1	стратегия	strategy
strategisch	strategisch		adj	B1	стратегический	strategic
Strauß	der Strauß, -̈e		der	B2+	страус	bouquet, bunch, ostrich
streben, strebt, strebte, hat gestrebt	streben, strebt, strebte, hat gestrebt		verb	B2+	стремиться	to strive
Strecke	die Strecke, -n		die	B1	маршрут	distance, route
strecken, streckt, streckte, hat gestreckt	strecken, streckt, streckte, hat gestreckt		verb	B2+	тянуться	to stretch
streicheln, streichelt, streichelte, hat gestreichelt	streicheln, streichelt, streichelte, hat gestreichelt		verb	B2+	ласкать	to pet
streichen, streicht, strich, hat gestrichen	streichen, streicht, strich, hat gestrichen		verb	B1	рисовать	to paint, cancel
streifen, streift, streifte, hat gestreift	streifen, streift, streifte, hat gestreift		verb	B2+	полоса	to touch, brush
Streit	der Streit, -e		der	B1	ссора	argument, fight
streiten, streitet, stritt, hat gestritten	streiten, streitet, stritt, hat gestritten		verb	A2	спорить	to quarrel, argue
streng	streng		adj	A2	строгий	strict
Stress	der Stress, -e		der	A2	стресс	stress
Strich	der Strich, -e		der	B2+	рывок	stroke, line
strikt	strikt		adj	B2+	строгий	strict
Strom	der Strom, -̈e		der	B1	электричество	stream, current, electricity
strömen, strömt, strömte, ist geströmt	strömen, strömt, strömte, ist geströmt		verb	B2+	поток	to flow
Strömung	die Strömung, -en		die	B2+	поток	current, trend
Struktur	die Struktur, -en		die	A2	структура	structure
strukturell	strukturell		adj	B2+	структурный	structural
strukturieren, strukturiert, strukturierte, hat strukturiert	strukturieren, strukturiert, strukturierte, hat strukturiert		verb	B2+	структура	to structure
Stück	das Stück, -e		das	A2	кусок	piece
Student	der Student, -en		der	A1	студент	student
Studie	die Studie, -n		die	B1	исследование	study
Studiengang	der Studiengang, -̈e		der	B2+	курс обучения	course of study
studieren, studiert, studierte, hat studiert	studieren, studiert, studierte, hat studiert		verb	A1	учиться	to study
Studio	das Studio, -s		das	B1	студия	studio
Studium	das Studium, -en		das	A1	исследование	study, studies
Stufe	die Stufe, -n		die	B1	сцена	step, level
Stuhl	der Stuhl, -̈e		der	A2	стул	chair
stumm	stumm		adj	B1	тихий	dumb, silent, mute
Stunde	die Stunde, -n		die	A1	час	hour
stundenlang	stundenlang		adj	B2+	часами	(lasting) for hours
Sturm	der Sturm, -̈e		der	B1	шторм	storm
Sturz	der Sturz, -̈e		der	B2+	осень	fall
stürzen, stürzt, stürzte, ist gestürzt	stürzen, stürzt, stürzte, ist gestürzt		verb	B1	падать	to fall, stumble
stützen, stützt, stützte, hat gestützt	stützen, stützt, stützte, hat gestützt		verb	B1	поддержка	to support, base on
Subjekt	das Subjekt, -e		das	B2+	предмет	subject
subjektiv	subjektiv		adj	B2+	субъективный	subjective
Substantiv	das Substantiv, -e		das	B2+	существительное	noun
Substanz	die Substanz, -en		die	B1	вещество	substance
Substitution	die Substitution, -en		die	B2+	замена	substitution, replacement
Substrat	das Substrat, -e		das	B2+	субстрат	substrate
Suche	die Suche, -n		die	B1	поиск	search
suchen, sucht, suchte, hat gesucht	suchen, sucht, suchte, hat gesucht		verb	A1	искать	to search, look for
Süden, Süd-	Süden, Süd-		der	B1	юг	south
südlich	südlich		adj	B2+	юг	southern
Suizid	der Suizid, -e		der	B2+	самоубийство	suicide
Summe	die Summe, -n		die	B1	итого	sum
super	super		adj	A2	отлично	super, great
Supermarkt	der Supermarkt, -̈e		der	A2	супермаркет	supermarket
süß	süß		adj	A2	сладкий	sweet
Symbol	das Symbol, -e		das	B1	символ	symbol
symbolisch	symbolisch		adj	B2+	символический	symbolic
Symmetrie	die Symmetrie, -n		die	B2+	симметрия	symmetry
symmetrisch	symmetrisch		adj	B2+	симметричный	symmetrical
sympathisch	sympathisch		adj	A2	сочувствующий	sympathetic
Symptom	das Symptom, -e		das	B2+	симптом	symptom
Synthese	die Synthese, -n		die	B1	синтез	synthesis
Syrer	der Syrer, -		der	B2+	сирийцы	Syrian
Syrien	Syrien		das	B1	Сирия	Syria
syrisch	syrisch		adj	B2+	сирийский	Syrian
System	das System, -e		das	B1	система	system
systematisch	systematisch		adj	B1	систематически	systematic
Szene	die Szene, -n		die	B1	сцена	scene
Tabelle	die Tabelle, -n		die	B1	таблица	table, chart
Tablette	die Tablette, -n		die	A2	планшет	tablet, pill
Tafel	die Tafel, -n		die	A2	доска	board, table
Tag	der Tag, -e		der	A1	день	day
Tagebuch	das Tagebuch, -̈er		das	B2+	дневник	diary
Tageszeitung	die Tageszeitung, -en		die	B2+	ежедневная газета	daily newspaper
täglich	täglich		adj	B1	ежедневно	daily
tagsüber	tagsüber		adv	B2+	в течение дня	during the day
Tal	das Tal, -̈er		das	B1	долина	valley
Talent	das Talent, -e		das	B1	талант	talent
Taliban	Taliban		die (pl)	B2+	Талибан	Taliban
Tante	die Tante, -n		die	B1	тетя	aunt
Tanz	der Tanz, -̈e		der	B1	танец	dance
tanzen, tanzt, tanzte, hat getanzt	tanzen, tanzt, tanzte, hat getanzt		verb	A1	танцевать	to dance
Tasche	die Tasche, -n		die	A1	сумка	pocket, bag
Tasse	die Tasse, -n		die	A2	чашка	cup
tasten, tastet, tastete, hat getastet	tasten, tastet, tastete, hat getastet		verb	B2+	нащупал	to fumble, feel
Tat	die Tat, -en		die	B1	дело	deed, action
Täter	der Täter, -		der	B1	преступник	culprit, perpetrator
tätig	tätig		adj	B1	активный	active
Tätigkeit	die Tätigkeit, -en		die	B1	деятельность	activity, work
Tatort	der Tatort, -e		der	B2+	место преступления	crime scene
Tatsache	die Tatsache, -n		die	B1	факт	fact
tatsächlich	tatsächlich		adj	B1	на самом деле	real, actual
tauchen, taucht, tauchte, ist getaucht	tauchen, taucht, tauchte, ist getaucht		verb	B1	ныряние	to dive, dip
tauschen, tauscht, tauschte, hat getauscht	tauschen, tauscht, tauschte, hat getauscht		verb	B1	обменивать	to exchange, change, swap, switch
täuschen, täuscht, täuschte, hat getäuscht	täuschen, täuscht, täuschte, hat getäuscht		verb	B2+	обмануть	to deceive, be mistaken
tausend	tausend		num	A1	тысяча	thousand
Taxi	das Taxi, -s		das	A1	такси	taxi
Team	das Team, -s		das	A2	команда	team
Technik	die Technik, -en		die	B1	технология	technology, technique
technisch	technisch		adj	B1	технический	technical
Technologie	die Technologie, -n		die	B1	технология	technology
technologisch	technologisch		adj	B2+	технологический	technological
Tee	der Tee, -s		der	A1	чай	tea
Teil	das Teil, -e		der, das	A1	часть	part
Teilchen	das Teilchen, -		das	B1	частицы	particle
teilen, teilt, teilte, hat geteilt	teilen, teilt, teilte, hat geteilt		verb	A2	поделиться	to divide, share
Teilnahme	die Teilnahme, -n		die	B1	участие	participation
teilnehmen, nimmt teil, nahm teil, hat teilgenommen	teilnehmen, nimmt teil, nahm teil, hat teilgenommen		verb	A2	участвовать	to take part
Teilnehmer	der Teilnehmer, -		der	B1	участники	participant
teils	teils		adv	B2+	частично	partly
Teilung	die Teilung, -en		die	B2+	дивизия	division, separation, partition
teilweise	teilweise		adv	B1	частично	partly
Telefon	das Telefon, -e		das	A1	телефон	telephone
telefonieren, telefoniert, telefonierte, hat telefoniert	telefonieren, telefoniert, telefonierte, hat telefoniert		verb	A1	сделать телефонный звонок	to (make a telephone) call
Telefonnummer	die Telefonnummer, -n		die	B2+	номер телефона	phone number
Teller	der Teller, -		der	A2	тарелка	plate
Tempel	der Tempel, -		der	B2+	храм	temple
Temperatur	die Temperatur, -en		die	B1	температура	temperature
Tempo	das Tempo, -i		das	B1	темп	pace, speed
Tendenz	die Tendenz, -en		die	B2+	тенденция	tendency, trend, inclination
Tennis	das Tennis		das	A2	теннис	tennis
Teppich	der Teppich, -e		der	B1	ковер	carpet
Termin	der Termin, -e		der	A1	назначение	appointment, date
Terrasse	die Terrasse, -n		die	B1	Терраса	terrace, patio
Terror	der Terror		der	B2+	террор	terror
Terroranschlag	der Terroranschlag, -̈e		der	B2+	террористическая атака	terrorist attack
Terrorismus	der Terrorismus		der	B2+	терроризм	terrorism
Terrorist	der Terrorist, -en		der	B2+	террорист	terrorist
Test	der Test, -s		der	A1	тест	test
Testament	das Testament, -e		das	B2+	Уилл	will
testen, testet, testete, hat getestet	testen, testet, testete, hat getestet		verb	B1	тестировать	to test
teuer	teuer		adj	A1	дорогой	expensive
Teufel	der Teufel, -		der	B2+	дьявол	devil
Text	der Text, -e		der	A1	текст	text
Theater	das Theater, -		das	A2	театр	theater
Thema	das Thema, -en		das	A1	тема	subject, topic, theme
thematisieren, thematisiert, thematisierte, hat thematisiert	thematisieren, thematisiert, thematisierte, hat thematisiert		verb	B2+	тематизировать	to broach the issue, make a subject of discussion
theoretisch	theoretisch		adj	B1	теоретически	theoretical
Theorie	die Theorie, -n		die	B1	теория	theory
Therapie	die Therapie, -n		die	B1	терапия	therapy
thermisch	thermisch		adj	B2+	термический	thermal
Thermodynamik	die Thermodynamik		die	B2+	термодинамика	thermodynamics
These	die These, -n		die	B2+	диссертация	thesis
Thüringen	Thüringen		das	B2+	тюрингия	Thuringia
Thüringer	Thüringer		adj	B2+	тюрингия	Thuringian
Tibet	Tibet		das	B2+	тибет	Tibet
Ticket	das Ticket, -s		das	A1	билет	ticket
tief	tief		adj	A2	глубокий	deep
Tiefe	die Tiefe, -n		die	B1	глубина	depth
Tier	das Tier, -e		das	A2	животное	animal
Tipp	der Tipp, -s		der	A2	Совет	tip, hint
tippen, tippt, tippte, hat getippt	tippen, tippt, tippte, hat getippt		verb	B1	постучал	to tap, type
Tirol	Tirol		das	B2+	Тироль	Tyrol
Tiroler	Tiroler		der	B2+	тирольский	Tyrolean
Tisch	der Tisch, -e		der	A1	стол	table
Titel	der Titel, -		der	A2	название	title
tja	tja		interj	B2+	ну	well
Tochter	die Tochter, -̈		die	A1	дочь	daughter
Tod	der Tod, -e		der	B1	смерть	death
tödlich	tödlich		adj	B1	смертельный	fatal
Toilette	die Toilette, -n		die	A1	туалет	toilet
Toleranz	die Toleranz, -en		die	B2+	толерантность	tolerance
toll	toll		adj	A2	отлично	great, terrific
Ton	der Ton, -e		der	B1	Тон	sound, tone, clay
Tonne	die Tonne, -n		die	B1	тонна	ton, barrel, bin
Topf	der Topf, -̈e		der	A2	горшок	pot
Tor	das Tor, -e		das	B1	ворота	gate, goal
tot	tot		adj	A1	мертвый	dead
total	total		adj	A2	полностью	total, complete
töten, tötet, tötete, hat getötet	töten, tötet, tötete, hat getötet		verb	B1	убить	to kill
Tour	die Tour, -en		die	A2	тур	tour, trip
Tourismus	der Tourismus		der	B1	туризм	tourism
Tourist	der Tourist, -en		der	A2	туристический	tourist
touristisch	touristisch		adj	B2+	туристический	touristic
Tradition	die Tradition, -en		die	B1	традиция	tradition
traditionell	traditionell		adj	B1	традиционный	traditional
tragen, trägt, trug, hat getragen	tragen, trägt, trug, hat getragen		verb	A2	носить	to carry, wear
Träger	der Träger, -		der	B2+	перевозчик	strap, holder, responsible body
tragisch	tragisch		adj	B2+	трагический	tragic
Tragödie	die Tragödie, -n		die	B2+	трагедия	tragedy
Trainer	der Trainer, -		der	B1	тренер	coach
trainieren, trainiert, trainierte, hat trainiert	trainieren, trainiert, trainierte, hat trainiert		verb	A2	тренировать	to train, coach
Training	das Training, -s		das	A2	обучение	training
Träne	die Träne, -n		die	B1	слеза	tear
Transfer	der Transfer, -s		der	B2+	трансфер	transfer
Transformation	die Transformation, -en		die	B2+	трансформация	transformation
Transparenz	die Transparenz, -en		die	B2+	прозрачность	transparency, clarity
Transport	der Transport, -e		der	B1	транспорт	transportation
transportieren, transportiert, transportierte, hat transportiert	transportieren, transportiert, transportierte, hat transportiert		verb	B1	транспортировать	to transport
trauen, traut, traute, hat getraut	trauen, traut, traute, hat getraut		verb	B1	доверять	to trust, dare to
Trauer	die Trauer		die	B2+	траур	grief
Traum	der Traum, -̈e		der	A2	мечтать	dream
träumen, träumt, träumte, hat geträumt	träumen, träumt, träumte, hat geträumt		verb	A2	мечтать	to dream
traurig	traurig		adj	A2	грустный	sad
treffen, trifft, traf, hat getroffen	treffen, trifft, traf, hat getroffen		verb	A2	ударить	to meet
Treffer	der Treffer, -		der	B2+	хит	hit, goal
treiben, treibt, trieb, hat getrieben	treiben, treibt, trieb, hat getrieben		verb	B1	ехать	to drive, pursue
Trend	der Trend, -s		der	B1	тенденция	trend
trennen, trennt, trennte, hat getrennt	trennen, trennt, trennte, hat getrennt		verb	A2	отдельный	to separate
Trennung	die Trennung, -en		die	B1	разделение	separation
Treppe	die Treppe, -n		die	A1	лестница	stairs
Tresen	der Tresen, -		der	B2+	счетчик	counter
treten, tritt, trat, hat getreten	treten, tritt, trat, hat getreten		verb	B1	пнул	to step
treu	treu		adj	B1	верный	faithful
Trick	der Trick, -s		der	B2+	трюк	trick
Trinken	das Trinken		das	A1	напиток	drink, drinking
trinken, trinkt, trank, hat getrunken	trinken, trinkt, trank, hat getrunken		verb	A1	пить	to drink
Triumph	der Triumph, -e		der	B2+	триумф	triumph
trocken	trocken		adj	A2	сухой	dry
trocknen, trocknet, trocknete, hat getrocknet	trocknen, trocknet, trocknete, hat getrocknet		verb	B1	высохнуть	to dry
Tropfen	der Tropfen, -		der	B1	капли	drop
Trost	der Trost		der	B2+	утешение	solace, comfort
trösten, tröstet, tröstete, hat getröstet	trösten, tröstet, tröstete, hat getröstet		verb	B2+	комфорт	to comfort
trotz	trotz		prep	B1	несмотря на	in spite of
trotzdem	trotzdem		adv	B1	в любом случае	nevertheless
Truppe	die Truppe, -n		die	B2+	отряд	troops, unit
tschüss	tschüss		interj	A1	пока	bye
T-Shirt	das T-Shirt, -s		das	A2	футболка	T-shirt
Tuch	das Tuch, -̈er		das	B1	ткань	cloth, scarf
tun, tut, tat, hat getan	tun, tut, tat, hat getan		verb	A1	делать	to do
Tunnel	der Tunnel, -		der	B2+	туннели	tunnel
Tür	die Tür, -en		die	A2	дверь	door
Türke	der Türke, -n		der	B2+	турок	Turk
Türkei	die Türkei		die	A2	Турция	Turkey
türkisch	türkisch		adj, das	B1	турецкий	Turkish; Turkish
Turm	der Turm, -̈e		der	B1	башня	tower
Turnier	das Turnier, -e		das	B2+	турнир	tournament
TV	das TV, -s		das	B2+	ТВ	TV
Typ	der Typ, -en		der	B1	тип	type
typisch	typisch		adj	A2	типичный	typical
übel	übel		adj	B2+	плохой	foul, bad
üben, übt, übte, hat geübt	üben, übt, übte, hat geübt		verb	A2	практиковаться	to practice
über	über		prep	A1	о	above, over, about
überall	überall		adv	A2	везде	everywhere
Überblick	der Überblick, -e		der	B2+	обзор	view, overview
übereinstimmen, stimmt überein, stimmte überein, hat übereingestimmt	übereinstimmen, stimmt überein, stimmte überein, hat übereingestimmt		verb	B2+	согласен	to accord, correspond, agree
Übereinstimmung	die Übereinstimmung, -en		die	B2+	матч	match, agreement
überflüssig	überflüssig		adj	B2+	лишний	superfluous, unnecessary
überfordern, überfordert, überforderte, hat überfordert	überfordern, überfordert, überforderte, hat überfordert		verb	B2+	ошеломить	to overtax, be too much
überführen, überführt, überführte, hat überführt	überführen, überführt, überführte, hat überführt		verb	B2+	осужденный	to transfer
Übergang	der Übergang, -̈e		der	B1	переход	crossing, transition
übergeben, übergibt, übergab, hat übergeben	übergeben, übergibt, übergab, hat übergeben		verb	B2+	передал	to hand over, transfer
übergehen, geht über, ging über, ist übergegangen	übergehen, geht über, ging über, ist übergegangen		verb	B2+	пройти	to pass into
überhaupt	überhaupt		adv	B1	вообще	at all, generally
überholen, überholt, überholte, hat überholt	überholen, überholt, überholte, hat überholt		verb	B1	обогнал	to pass, overhaul
überlassen, überlässt, überließ, hat überlassen	überlassen, überlässt, überließ, hat überlassen		verb	B1	ушел	to leave
überleben, überlebt, überlebte, hat überlebt	überleben, überlebt, überlebte, hat überlebt		verb	B1	выжить	to survive
überlegen	überlegen		verb	B1	рассмотреть	superior
überlegen	überlegen		adj	B1	рассмотреть	superior
Überlegung	die Überlegung, -en		die	B1	рассмотрение	thought, thinking
übernachten, übernachtet, übernachtete, hat übernachtet	übernachten, übernachtet, übernachtete, hat übernachtet		verb	A1	переночевать	to stay overnight, spend the night, sleep over
Übernahme	die Übernahme, -n		die	B2+	поглощение	takeover
übernehmen, übernimmt, übernahm, hat übernommen	übernehmen, übernimmt, übernahm, hat übernommen		verb	B1	взять на себя	to take over
überprüfen, überprüft, überprüfte, hat überprüft	überprüfen, überprüft, überprüfte, hat überprüft		verb	B1	проверил	to check
Überprüfung	die Überprüfung, -en		die	B2+	обзор	review, screening, check, inspection
überqueren, überquert, überquerte, hat überquert	überqueren, überquert, überquerte, hat überquert		verb	B1	пересек	to cross
überraschen, überrascht, überraschte, hat überrascht	überraschen, überrascht, überraschte, hat überrascht		verb	B1	удивление	to surprise
Überraschung	die Überraschung, -en		die	B1	сюрприз	surprise
überschreiten, überschreitet, überschritt, hat überschritten	überschreiten, überschreitet, überschritt, hat überschritten		verb	B2+	превышает	to exceed
übersehen, übersieht, übersah, hat übersehen	übersehen, übersieht, übersah, hat übersehen		verb	B2+	упустили из виду	to overlook
übersetzen, übersetzt, übersetzte, hat übersetzt	übersetzen, übersetzt, übersetzte, hat übersetzt		verb	A2	перевести	to translate
Übersetzer	der Übersetzer, -		der	B1	переводчик	translator
Übersetzung	die Übersetzung, -en		die	A2	перевод	translation
Übersicht	die Übersicht, -en		die	B2+	обзор	overview
überstehen, übersteht, überstand, hat überstanden	überstehen, übersteht, überstand, hat überstanden		verb	B2+	выжить	to overcome, survive
übertragen	übertragen		verb	B1	переведен	to transfer
Übertragung	die Übertragung, -en		die	B2+	трансмиссия	transmission, broadcast
übertreiben, übertreibt, übertrieb, hat übertrieben	übertreiben, übertreibt, übertrieb, hat übertrieben		verb	B1	преувеличивать	to exaggerate
überwachen, überwacht, überwachte, hat überwacht	überwachen, überwacht, überwachte, hat überwacht		verb	B2+	мониторил	to monitor, control, watch
Überwachung	die Überwachung, -en		die	B2+	мониторинг	surveillance
überwältigen, überwältigt, überwältigte, hat überwältigt	überwältigen, überwältigt, überwältigte, hat überwältigt		verb	B2+	ошеломить	to overwhelm
überwiegen, überwiegt, überwog, hat überwogen	überwiegen, überwiegt, überwog, hat überwogen		verb	B1	перевесить	to outweigh
überwinden, überwindet, überwand, hat überwunden	überwinden, überwindet, überwand, hat überwunden		verb	B2+	преодолел	to overcome
überzeugen, überzeugt, überzeugte, hat überzeugt	überzeugen, überzeugt, überzeugte, hat überzeugt		verb	A2	убедить	to convince
Überzeugung	die Überzeugung, -en		die	B1	осуждение	conviction
überziehen, zieht über, zog über, hat übergezogen	überziehen, zieht über, zog über, hat übergezogen		verb	B2+	перетянуто	to cover, put on, overdraw
üblich	üblich		adj	B1	обычный	usual
üblicherweise	üblicherweise		adv	B2+	обычно	usually
übrig	übrig		adj	B1	ушел	remaining, left, leftover
übrigens	übrigens		adv	B1	кстати	by the way
Übung	die Übung, -en		die	B1	упражнение	exercise, practice
Ufer	das Ufer, -		das	B1	берег	shore, bank
Uhr	die Uhr, -en		die	A1	часы	clock, watch, o’clock
Ukraine	die Ukraine		die	B1	Украина	Ukraine
ukrainisch	ukrainisch		adj	B2+	украинский	Ukrainian
um	um		prep, conj	A1	вокруг	around, at; in order to
umarmen, umarmt, umarmte, hat umarmt	umarmen, umarmt, umarmte, hat umarmt		verb	B1	обнимать	to embrace
umbringen, bringt um, brachte um, hat umgebracht	umbringen, bringt um, brachte um, hat umgebracht		verb	B1	убить	to kill
umdrehen, dreht um, drehte um, hat umgedreht	umdrehen, dreht um, drehte um, hat umgedreht		verb	B1	обернулся	to turn over, turn around
Umfang	der Umfang, -̈e		der	B1	область применения	circumference, size, extent, length
umfangreich	umfangreich		adj	B2+	обширный	extensive
umfassen, umfasst, umfasste, hat umfasst	umfassen, umfasst, umfasste, hat umfasst		verb	B1	включать	to include, consist of, surround
Umfeld	das Umfeld, -er		das	B1	окружающая среда	milieu, environment
Umfrage	die Umfrage, -n		die	B1	опрос	survey
Umgang	der Umgang, -̈e		der	B1	обработка	dealings, contact
umgeben, gibt um, gab um, hat umgegeben	umgeben, gibt um, gab um, hat umgegeben		verb	B1	окружает	to surround, enclose
Umgebung	die Umgebung, -en		die	B1	окружающая среда	surroundings
umgehen, umgeht, umging, hat umgangen	umgehen, umgeht, umging, hat umgangen		verb	B1	обойти	to treat, handle
umgekehrt	umgekehrt		adj	B1	наоборот	reversed, contrary, around
umrechnen, rechnet um, rechnete um, hat umgerechnet	umrechnen, rechnet um, rechnete um, hat umgerechnet		verb	B2+	конвертировать	to convert
Umsatz	der Umsatz, -̈e		der	B1	продажи	turnover, sales
umsehen, sieht um, sah um, hat umgesehen	umsehen, sieht um, sah um, hat umgesehen		verb	B2+	осмотреться	to look (around)
umsetzen, setzt um, setzte um, hat umgesetzt	umsetzen, setzt um, setzte um, hat umgesetzt		verb	B1	внедрить	to implement, move, put (into practice)
Umsetzung	die Umsetzung, -en		die	B1	реализация	transfer, implementation
umso	umso		conj	B1	тем более	the (more . . . the)
umsonst	umsonst		adv	B1	бесплатно	for free, in vain
Umstand	der Umstand, -̈e		der	B1	обстоятельство	circumstance
umstritten	umstritten		adj	B1	спорный	disputed
umwandeln, wandelt um, wandelte um, hat umgewandelt	umwandeln, wandelt um, wandelte um, hat umgewandelt		verb	B2+	конвертировать	to convert, change
Umwandlung	die Umwandlung, -en		die	B2+	конверсия	conversion
Umwelt	die Umwelt, -en		die	B1	окружающая среда	environment
Umzug	der Umzug, -̈e		der	A2	переезд	move
unabhängig	unabhängig		adj	A2	независимый	independent
Unabhängigkeit	die Unabhängigkeit, -en		die	B2+	независимость	independence
unangenehm	unangenehm		adj	B2+	неприятный	unpleasant
unauffällig	unauffällig		adj	B2+	незаметный	inconspicuous
unbedingt	unbedingt		adv	A2	абсолютно	absolutely
unbekannt	unbekannt		adj	B1	неизвестно	unknown
unbewusst	unbewusst		adj	B2+	бессознательно	unconscious
und	und		conj	A1	и	and
unendlich	unendlich		adj	B1	бесконечный	endless, infinite
unerträglich	unerträglich		adj	B2+	невыносимый	unbearable, intolerable
unerwartet	unerwartet		adj	B2+	неожиданный	unexpected
Unfall	der Unfall, -̈e		der	A2	несчастный случай	accident
Ungarn	Ungarn		das	B1	Венгрия	Hungary
ungefähr	ungefähr		adj	B1	примерно	approximately
ungeheuer	ungeheuer		adj	B2+	огромный	tremendous
ungewöhnlich	ungewöhnlich		adj	B1	необычный	unusual
unglaublich	unglaublich		adj	B1	невероятный	incredible
ungleich	ungleich		adj	B2+	неравный	dissimilar, unequal
Ungleichheit	die Ungleichheit, -en		die	B2+	неравенство	inequality, dissimilarity
Unglück	das Unglück, -e		das	B1	несчастье	misfortune, disaster
unglücklich	unglücklich		adj	B2+	несчастный	unhappy, unfortunate
unheimlich	unheimlich		adj	B1	страшно	eerie, scary, incredible, creepy
Uniform	die Uniform, -en		die	B1	униформа	uniform
Union	die Union, -en		die	B1	союз	union
Universität	die Universität, -en (Uni)		die	A2	университет	university
Universitätsbibliothek	die Universitätsbibliothek, -en		die	B2+	университетская библиотека	university library
Universum	das Universum, -en		das	B2+	вселенная	universe
unklar	unklar		adj	B2+	неясно	unclear
unmittelbar	unmittelbar		adj	B1	немедленно	immediate, direct
unmöglich	unmöglich		adj	B1	невозможно	impossible
unnötig	unnötig		adj	B2+	ненужный	unnecessary
UNO	UNO (Vereinte Nationen)		die	B2+	ООН	UN
Unrecht	das Unrecht		das	B2+	несправедливость	injustice, wrong
Unruhe	die Unruhe, -n		die	B2+	беспокойство	unrest, unease, disquiet, upheaval
uns	uns		pron	A1	мы	us, we
unschuldig	unschuldig		adj	B2+	невинный	innocent
unser	unser		pron	A1	наш	our
unsicher	unsicher		adj	B2+	неопределенный	uncertain
Unsicherheit	die Unsicherheit, -en		die	B2+	неопределенность	uncertainty
unsichtbar	unsichtbar		adj	B2+	невидимый	invisible
Unsinn	der Unsinn		der	B2+	ерунда	nonsense
unten	unten		adv	A1	ниже	down
unter	unter		prep	A1	под	under
unterbrechen, unterbricht, unterbrach, hat unterbrochen	unterbrechen, unterbricht, unterbrach, hat unterbrochen		verb	B1	прерывать	to interrupt
unterbringen, bringt unter, brachte unter, hat untergebracht	unterbringen, bringt unter, brachte unter, hat untergebracht		verb	B2+	разместить	to put (up), accommodate
unterdessen	unterdessen		adv	B2+	тем временем	meanwhile, in the meantime
